,Billing Organization,   Station        Unit,Zone,PTID,       Town,Cnty,St,YYYY-MM-DD,Rating,CRISSUM,CRISWIN,CapacitySUM,CapacityWIN,DUAL,UnitType,FuelType,2,2024Energy(GWh)
R1001,Jamestown Board of Public Utilities,Jamestown 5,A,1658,Jamestown,013,36,1951-08-01,28.7,23.0,23.0,19.0,21.2,YES,ST,NG,FO2,1.0
R1002,Jamestown Board of Public Utilities,Jamestown 6,A,1658,Jamestown,013,36,1968-08-01,25.0,22.4,22.4,16.5,18.4,YES,ST,NG,FO2,4.2
R1003,Jamestown Board of Public Utilities,Jamestown 7,A,1659,Jamestown,013,36,2002-01-01,47.3,40.0,40.0,39.2,45.2,,GT,NG,,28.3
R1004,New York Power Authority,Lewiston PS (Fleet),A,23760,Niagara Falls,063,36,1961-01-01,240.0,240.0,240.0,240.0,240.0,,PS,WAT,,-238.4
R1005,New York Power Authority,Moses Niagara (Fleet),A,23760,Niagara Falls,063,36,1961-01-01,"2,860.0","2,460.0","2,460.0","2,435.0","2,435.0",,HY,WAT,,"15,585.1"
R1006,Indeck-Yerkes LP,Indeck-Yerkes,A,23781,Tonawanda,029,36,1990-02-01,59.9,49.7,60.5,43.1,53.8,YES,CC,NG,FO2,20.9
R1007,Erie Blvd. Hydro - NYS Barge,Hydraulic Race,A,23848,Lockport,063,36,1942-01-01,4.7,3.1,3.1,4.7,4.7,,HY,WAT,,7.6
R1008,Indeck-Olean LP,Indeck-Olean,A,23982,Olean,009,36,1993-12-01,90.6,79.4,88.5,79.0,86.0,YES,CC,NG,FO2,34.5
R1009,"Covanta Niagara, LP",American Ref-Fuel 1,A,24010,Niagara,063,36,1993-05-01,25.0,19.6,19.6,18.8,19.1,,ST,REF,,261.6
R1010,"Covanta Niagara, LP",American Ref-Fuel 2,A,24010,Niagara,063,36,1993-05-01,25.0,19.6,19.6,18.8,19.0,,ST,REF,,
R1011,Model City Energy LLC,Model City Energy,A,24167,Lewiston,063,36,2001-06-01,5.6,5.6,5.6,5.6,5.6,,IC,MTE,,23.8
R1012,"Modern Innovative Energy, LLC",Modern LF,A,323580,Lewiston,063,36,2006-02-01,6.4,6.4,6.4,6.4,6.4,,IC,MTE,,24.7
R1013,"Niagara Wind Power, LLC",Steel Wind,A,323596,Lackawanna,029,36,2007-01-23,20.0,0.0,0.0,0.0,0.0,,WT,LBW,,54.9
R1014,"WM Renewable Energy,LLC",Chaffee,A,323603,Chaffee,029,36,2007-08-09,6.4,6.4,6.4,6.4,6.4,,IC,MTE,,4.5
R1015,"Valcour Bliss Windpark, LLC",Bliss Wind Power,A,323608,Bliss,121,36,2008-03-20,100.5,100.5,100.5,100.5,100.5,,WT,LBW,,171.7
R1016,Castleton Commodities Energy Services LLC,Chautauqua LFGE,A,323629,Jamestown,013,36,2010-02-12,9.6,0.0,0.0,0.0,0.0,,IC,MTE,,0.0
R1017,"Erie Wind, LLC",Erie Wind,A,323693,Lackawanna,029,36,2012-02-01,15.0,0.0,0.0,0.0,0.0,,WT,LBW,,41.3
R1018,Arkwright Summit Wind Farm LLC,Arkwright Summit Wind Farm,A,323751,Arkwright,013,36,2018-09-01,78.4,78.4,78.4,78.4,78.4,,WT,LBW,,230.3
R1019,Lockport Energy Assoc.,Lockport CC1,A,323769,Lockport,063,36,1992-07-01,73.8,75.1,87.3,70.0,74.5,YES,CC,NG,FO2,186.9
R1020,Lockport Energy Assoc.,Lockport CC2,A,323770,Lockport,063,36,1992-07-01,73.8,75.1,87.2,70.0,74.5,YES,CC,NG,FO2,
R1021,Lockport Energy Assoc.,Lockport CC3,A,323771,Lockport,063,36,1992-07-01,73.8,75.0,87.2,70.0,74.5,YES,CC,NG,FO2,
R1022,"Cassadaga Wind, LLC",Cassadaga Wind,A,323784,Charlotte,013,36,2021-04-01,126.5,126.0,126.0,0.0,0.0,,WT,LBW,,214.9
R1023,Orangeville Energy Storage LLC,Orangeville ESR,A,323794,Orangeville,121,36,2021-10-19,20.0,0.0,0.0,0.0,0.0,,ES,BAT,,-3.0
R1024,Galt Power Inc.,KCE NY 6,A,323823,Hamburg,029,36,2023-07-01,20.0,20.0,20.0,17.0,20.0,,ES,BAT,,-4.6
R1025,"Ball Hill Wind Energy, LLC",Ball Hill Wind,A,323825,Hanover,013,36,2024-02-01,107.5,100.0,100.0,107.5,107.5,,WT,LBW,,244.9
R1026,"World Generation X, LLC",Fortistar - N.Tonawanda (BTM:NG),A,323836,N Tonawanda,029,36,1993-06-01,68.5,59.0,75.0,46.5,60.1,YES,CC,NG,FO2,66.8
R1027,"Seneca Power Partners, L.P.",Allegany,B,23514,Hume,003,36,1995-03-01,67.0,62.9,82.2,62.7,63.3,,CC,NG,,15.5
R1028,"R.E. Ginna Nuclear Power Plant, LLC",R. E. Ginna,B,23603,Ontario,117,36,1970-07-01,614.0,582.0,582.0,578.8,581.1,,NP,UR,,"4,799.1"
R1029,Rochester Gas and Electric Corp.,Station 2  1,B,23604,Rochester,055,36,1913-07-01,8.5,6.5,6.5,8.5,8.5,,HY,WAT,,5.0
R1030,Rochester Gas and Electric Corp.,Station 26  1,B,23604,Rochester,055,36,1952-08-01,3.0,3.0,3.0,3.0,3.0,,HY,WAT,,
R1031,Rochester Gas and Electric Corp.,Station 5  1,B,23604,Rochester,055,36,1918-07-01,14.0,11.8,11.8,14.0,14.0,,HY,WAT,,
R1032,Rochester Gas and Electric Corp.,Station 5  2,B,23604,Rochester,055,36,1918-07-01,13.6,11.8,11.8,13.6,13.6,,HY,WAT,,
R1033,Rochester Gas and Electric Corp.,Station 5  3,B,23604,Rochester,055,36,1918-07-01,18.0,16.5,16.5,18.0,18.0,,HY,WAT,,
