ID,NYISO_Name,PTID,Unit_Type,Fuel_Type_Primary,Fuel_Type_Secondary,CAMD_Plant_ID,CAMD_Unit_ID,raise_rr_ratio,lower_rr_ratio,max_gen,eco_min,eco_min_ratio,heat_1,heat_0,gen_bus,Zone,max_ramp_ratio,max_ramp_hourly,eco_min_heat_input
"(2480,1)",Danskammer 1,23586,ST,NG,FO6,2480,1,0.5,0.621621622,74,17.76,0.24,13.13295313,150.3283149,77,G,0.621621622,46,383.5695625
"(2480,2)",Danskammer 2,23589,ST,NG,FO6,2480,2,0.394366197,0.507042254,71,15.62,0.22,11.31461753,65.2906448,77,G,0.507042254,36,242.0249707
"(2480,3)",Danskammer 3,23590,ST,NG,,2480,3,0.382550336,0.503355705,149,53.64,0.36,5.579321953,556.4136952,77,G,0.503355705,75,855.6885248
"(2480,4)",Danskammer 4,23591,ST,NG,,2480,4,0.35021097,0.506329114,237,66.36,0.28,8.069487767,83.18775967,77,G,0.506329114,120,618.6789679
"(2490,20)",Arthur Kill ST 2,23512,ST,NG,,2490,20,0.421487603,0.876033058,363,94.38,0.26,8.503719782,253.4582913,82,J,0.876033058,318,1056.039364
"(2490,30)",Arthur Kill ST 3,23513,ST,NG,,2490,30,0.315018315,0.375457875,546,152.88,0.28,8.434699391,440.6519753,82,J,0.375457875,205,1730.148818
"(2490,CT0001)",Arthur Kill GT 1,23520,CT,NG,,2490,CT0001,1,1,15,12,0.8,11.098,0,82,J,1,15,133.176
"(2493,1)",East River 1,323558,CC,NG,KER,2493,1,0.462837838,0.341216216,296,76.96,0.26,7.694381635,441.686839,82,J,0.462837838,137,1033.84645
"(2493,2)",East River 2,323559,CC,NG,KER,2493,2,0.566552901,0.368600683,293,76.18,0.26,7.765665222,413.5000598,82,J,0.566552901,166,1005.088436
"(2494,CT02-1)",Gowanus 2-1,24114,CT,FO2,NG,2494,CT02-1,1,1,16,12.8,0.8,13.315,0,82,J,1,16,170.432
"(2494,CT02-2)",Gowanus 2-2,24115,CT,FO2,NG,2494,CT02-2,1,1,16,12.8,0.8,13.315,0,82,J,1,16,170.432
"(2494,CT02-3)",Gowanus 2-3,24116,CT,FO2,NG,2494,CT02-3,1,1,16,12.8,0.8,13.315,0,82,J,1,16,170.432
"(2494,CT02-4)",Gowanus 2-4,24117,CT,FO2,NG,2494,CT02-4,1,1,16,12.8,0.8,13.315,0,82,J,1,16,170.432
"(2494,CT02-5)",Gowanus 2-5,24118,CT,FO2,NG,2494,CT02-5,1,1,16,12.8,0.8,13.315,0,82,J,1,16,170.432
"(2494,CT02-6)",Gowanus 2-6,24119,CT,FO2,NG,2494,CT02-6,1,1,16,12.8,0.8,13.315,0,82,J,1,16,170.432
"(2494,CT02-7)",Gowanus 2-7,24120,CT,FO2,NG,2494,CT02-7,1,1,16,12.8,0.8,13.315,0,82,J,1,16,170.432
"(2494,CT02-8)",Gowanus 2-8,24121,CT,FO2,NG,2494,CT02-8,1,1,16,12.8,0.8,13.315,0,82,J,1,16,170.432
"(2494,CT03-1)",Gowanus 3-1,24122,CT,FO2,NG,2494,CT03-1,1,1,15,12,0.8,13.315,0,82,J,1,15,159.78
"(2494,CT03-2)",Gowanus 3-2,24123,CT,FO2,NG,2494,CT03-2,1,1,15,12,0.8,13.315,0,82,J,1,15,159.78
"(2494,CT03-3)",Gowanus 3-3,24124,CT,FO2,NG,2494,CT03-3,1,1,15,12,0.8,13.315,0,82,J,1,15,159.78
"(2494,CT03-4)",Gowanus 3-4,24125,CT,FO2,NG,2494,CT03-4,1,1,15,12,0.8,13.315,0,82,J,1,15,159.78
"(2494,CT03-5)",Gowanus 3-5,24126,CT,FO2,NG,2494,CT03-5,1,1,15,12,0.8,13.315,0,82,J,1,15,159.78
"(2494,CT03-6)",Gowanus 3-6,24127,CT,FO2,NG,2494,CT03-6,1,1,15,12,0.8,13.315,0,82,J,1,15,159.78
"(2494,CT03-7)",Gowanus 3-7,24128,CT,FO2,NG,2494,CT03-7,1,1,15,12,0.8,13.315,0,82,J,1,15,159.78
"(2494,CT03-8)",Gowanus 3-8,24129,CT,FO2,NG,2494,CT03-8,1,1,15,12,0.8,13.315,0,82,J,1,15,159.78
"(2499,CT01-1)",Narrows 1-1,24228,CT,FO2,NG,2499,CT01-1,1,1,17,13.6,0.8,13.315,0,82,J,1,17,181.084
"(2499,CT01-2)",Narrows 1-2,24229,CT,FO2,NG,2499,CT01-2,1,1,17,13.6,0.8,13.315,0,82,J,1,17,181.084
"(2499,CT01-3)",Narrows 1-3,24230,CT,FO2,NG,2499,CT01-3,1,1,17,13.6,0.8,13.315,0,82,J,1,17,181.084
"(2499,CT01-4)",Narrows 1-4,24231,CT,FO2,NG,2499,CT01-4,1,1,17,13.6,0.8,13.315,0,82,J,1,17,181.084
"(2499,CT01-5)",Narrows 1-5,24232,CT,FO2,NG,2499,CT01-5,1,1,17,13.6,0.8,13.315,0,82,J,1,17,181.084
"(2499,CT01-6)",Narrows 1-6,24233,CT,FO2,NG,2499,CT01-6,1,1,17,13.6,0.8,13.315,0,82,J,1,17,181.084
"(2499,CT01-7)",Narrows 1-7,24234,CT,FO2,NG,2499,CT01-7,1,1,17,13.6,0.8,13.315,0,82,J,1,17,181.084
"(2499,CT01-8)",Narrows 1-8,24235,CT,FO2,NG,2499,CT01-8,1,1,17,13.6,0.8,13.315,0,82,J,1,17,181.084
"(2499,CT02-1)",Narrows 2-1,24236,CT,FO2,NG,2499,CT02-1,1,1,17,13.6,0.8,13.315,0,82,J,1,17,181.084
"(2499,CT02-2)",Narrows 2-2,24237,CT,FO2,NG,2499,CT02-2,1,1,17,13.6,0.8,13.315,0,82,J,1,17,181.084
"(2499,CT02-3)",Narrows 2-3,24238,CT,FO2,NG,2499,CT02-3,1,1,17,13.6,0.8,13.315,0,82,J,1,17,181.084
"(2499,CT02-4)",Narrows 2-4,24239,CT,FO2,NG,2499,CT02-4,1,1,17,13.6,0.8,13.315,0,82,J,1,17,181.084
"(2499,CT02-5)",Narrows 2-5,24240,CT,FO2,NG,2499,CT02-5,1,1,17,13.6,0.8,13.315,0,82,J,1,17,181.084
"(2499,CT02-6)",Narrows 2-6,24241,CT,FO2,NG,2499,CT02-6,1,1,17,13.6,0.8,13.315,0,82,J,1,17,181.084
"(2499,CT02-7)",Narrows 2-7,24242,CT,FO2,NG,2499,CT02-7,1,1,17,13.6,0.8,13.315,0,82,J,1,17,181.084
"(2499,CT02-8)",Narrows 2-8,24243,CT,FO2,NG,2499,CT02-8,1,1,17,13.6,0.8,13.315,0,82,J,1,17,181.084
"(2500,10)",Ravenswood ST 01,23533,ST,FO6,NG,2500,10,0.450276243,0.450276243,362,50.68,0.14,8.764914237,483.4966771,82,J,0.450276243,163,927.7025306
"(2500,20)",Ravenswood ST 02,23534,ST,FO6,NG,2500,20,0.422279793,0.424870466,386,77.2,0.2,10.236,0,82,J,0.424870466,164,790.2192
"(2500,30)",Ravenswood ST 03,23535,ST,FO6,NG,2500,30,0.417251755,0.478435306,997,139.58,0.14,8.893410227,620.3955017,82,J,0.478435306,477,1861.737701
"(2500,CT0010)",Ravenswood 10,24258,CT,KER,NG,2500,CT0010,0.181818182,0.136363636,22,14.4,0.654545455,4.258167999,104.2425822,82,J,0.181818182,4,165.5602014
"(2500,UCC001)",Ravenswood CC 04,23820,CC,NG,FO2,2500,UCC001,0.450184502,0.520295203,271,135.5,0.5,5.502199547,398.6316164,82,J,0.520295203,141,1144.179655
"(2503,CT0001)",59 St.  GT 1,24138,CT,KER,NG,2503,CT0001,1,1,14,11.2,0.8,13.315,0,82,J,1,14,149.128
"(2504,CT0001)",74 St.  GT 1,24260,CT,KER,,2504,CT0001,1,1,14,11.2,0.8,13.315,0,82,J,1,14,149.128
"(2504,CT0002)",74 St.  GT 2,24261,CT,KER,,2504,CT0002,1,1,14,11.2,0.8,13.315,0,82,J,1,14,149.128
"(2511,10)",Barrett ST 01,23545,ST,NG,FO6,2511,10,0.468599034,0.845410628,207,41.4,0.2,10.26397865,44.77493251,79,K,0.845410628,175,469.7036488
"(2511,20)",Barrett ST 02,23546,ST,NG,FO6,2511,20,0.424242424,0.48989899,198,43.56,0.22,9.907729644,41.17515724,79,K,0.48989899,97,472.7558605
"(2511,U00004)",Barrett GT 01,23704,CT,NG,FO2,2511,U00004,0.777777778,0.944444444,18,11.88,0.66,11.48994401,62.10263274,79,K,0.944444444,17,198.6031676
"(2511,U00005)",Barrett GT 02,23705,CT,NG,FO2,2511,U00005,0.823529412,0.882352941,17,10.88,0.64,14.76009517,22.37948755,79,K,0.882352941,15,182.969323
"(2511,U00006)",Barrett 03,23706,CT,NG,FO2,2511,U00006,0.666666667,0.888888889,18,9,0.5,13.17970911,36.49529994,79,K,0.888888889,16,155.1126819
"(2511,U00007)",Barrett 04,23707,CT,NG,FO2,2511,U00007,0.833333333,0.833333333,18,9,0.5,14.12108092,25.84879505,79,K,0.833333333,15,152.9385233
"(2511,U00008)",Barrett 05,23708,CT,NG,FO2,2511,U00008,0.789473684,0.736842105,19,9.5,0.5,13.66829851,32.06412594,79,K,0.789473684,15,161.9129618
"(2511,U00009)",Barrett 06,23709,CT,NG,FO2,2511,U00009,0.666666667,0.833333333,18,9,0.5,16.46171656,0,79,K,0.833333333,15,148.1554491
"(2511,U00011)",Barrett 08,23711,CT,NG,FO2,2511,U00011,0.666666667,0.722222222,18,9,0.5,15.29009299,13.19130901,79,K,0.722222222,13,150.8021459
"(2511,U00012)",Barrett 09,23700,CT,NG,FO2,2511,U00012,0.875,0.791666667,24,12,0.5,11.77946214,72.7994054,79,K,0.875,21,214.1529511
"(2511,U00014)",Barrett 10,23701,CT,NG,FO2,2511,U00014,0.826086957,0.782608696,23,11.5,0.5,14.88897892,25.65473372,79,K,0.826086957,19,196.8779912
