BusId,name,PowerCap,EnergyCap,zone,rating
55,Storage_55,297,2376,A,6.711864406779661
56,Storage_56,818,6544,A,18.48587570621469
57,Storage_57,818,6544,A,18.48587570621469
60,Storage_60,545,4360,A,12.31638418079096
62,Storage_62,10,80,B,475.0
51,Storage_51,837,6696,C,635.4205754828538
65,Storage_65,1269,10152,C,963.3795821836816
71,Storage_71,431,3448,C,327.19984233346474
48,Storage_48,2562,20496,D,127.0
38,Storage_38,294,2352,E,566.2222222222222
45,Storage_45,597,4776,E,1149.7777777777776
37,Storage_37,1961,15688,F,237.75983918747357
42,Storage_42,2765,22120,F,335.2401608125264
39,Storage_39,45,360,G,47.1
77,Storage_77,105,840,G,109.89999999999999
74,Storage_74,140,1120,H,24.0
78,Storage_78,140,1120,I,38.0
81,Storage_81,1449,11592,J,280.1445330830596
82,Storage_82,2813,22504,J,543.8554669169404
79,Storage_79,1202,9616,K,53.13052522100884
80,Storage_80,721,5768,K,31.869474778991158
38,PumpedHydro,1170,14040,E,0.0
