folder_number,folder,renewable_percentage
1998,nys2030_1998_test,55.53548172
1999,nys2030_1999_test,56.03118898
2001,nys2030_2001_test,55.11504587
2002,nys2030_2002_test,54.99867483
2003,nys2030_2003_test,54.12293584
2005,nys2030_2005_test,52.78274475
2006,nys2030_2006_test,56.15392319
2007,nys2030_2007_test,54.98482762
2009,nys2030_2009_test,55.34645279
2010,nys2030_2010_test,54.66395568
2011,nys2030_2011_test,53.92685973
2013,nys2030_2013_test,55.26670304
2014,nys2030_2014_test,55.81217478
2015,nys2030_2015_test,54.64901284
2017,nys2030_2017_test,55.82616492
2018,nys2030_2018_test,53.36919614
2019,nys2030_2019_test,55.03719717
